year_closed,coverage,total,against_insurer,for_insurer,ambiguous,no_disposition,no_decision,against_rate_of_decided,against_rate_of_total
2018,,57,0,0,0,57,57,NaN,0.0
2018,ALL,66,0,6,1,59,60,0.0,0.0
2018,Homeowners,7,0,6,1,0,1,0.0,0.0
2018,Individual Private Passenger,2,0,0,0,2,2,NaN,0.0
2019,,54,0,0,0,54,54,NaN,0.0
2019,ALL,59,0,5,0,54,54,0.0,0.0
2019,Homeowners,4,0,4,0,0,0,0.0,0.0
2019,Individual Private Passenger,1,0,1,0,0,0,0.0,0.0
2020,,57,0,0,0,57,57,NaN,0.0
2020,ALL,84,1,11,13,59,72,0.08333333333333333,0.011904761904761904
2020,Commercial Multi-Peril,1,0,1,0,0,0,0.0,0.0
2020,Group,2,0,0,0,2,2,NaN,0.0
2020,Homeowners,1,1,0,0,0,0,1.0,1.0
2020,Individual,23,0,10,13,0,13,0.0,0.0
2021,,57,0,0,0,57,57,NaN,0.0
2021,A & H,10,0,0,10,0,10,NaN,0.0
2021,ALL,212,16,48,75,73,148,0.25,0.07547169811320754
2021,Dwelling Fire,2,0,0,0,2,2,NaN,0.0
2021,Group,5,0,3,2,0,2,0.0,0.0
2021,Homeowners,2,0,0,0,2,2,NaN,0.0
2021,Individual,135,15,45,63,12,75,0.25,0.1111111111111111
2021,Individual Private Passenger,1,1,0,0,0,0,1.0,1.0
2022,,518,18,22,21,457,478,0.45,0.03474903474903475
2022,A & H,2180,640,508,167,865,1032,0.5574912891986062,0.29357798165137616
2022,ALL,10579,2166,3088,688,4637,5325,0.4122573277502855,0.20474525002363173
2022,Auto Warranty,1,0,0,0,1,1,NaN,0.0
2022,Builder's Risk,1,0,1,0,0,0,0.0,0.0
2022,Business Interruption,1,0,0,0,1,1,NaN,0.0
2022,Commercial,100,28,45,5,22,27,0.3835616438356164,0.28
2022,Commercial Multi-Peril,113,27,67,4,15,19,0.2872340425531915,0.23893805309734514
2022,Condo/Townhome,45,6,23,3,13,16,0.20689655172413793,0.13333333333333333
2022,Credit Life,2,0,2,0,0,0,0.0,0.0
2022,Directors & Officers,1,0,1,0,0,0,0.0,0.0
2022,Dwelling Fire,20,6,5,0,9,9,0.5454545454545454,0.3
2022,Extended Warranty,6,0,0,0,6,6,NaN,0.0
2022,Extended Warranty & Service Contracts,22,0,8,0,14,14,0.0,0.0
2022,Farm owner/Ranch owner,3,0,1,0,2,2,0.0,0.0
2022,Federal Flood,6,0,4,0,2,2,0.0,0.0
2022,Federal Programs,4,0,0,4,0,4,NaN,0.0
2022,"Fire, Allied Lines",12,0,9,0,3,3,0.0,0.0
2022,General,29,0,12,0,17,17,0.0,0.0
2022,Group,1847,491,386,174,796,970,0.5598631698973774,0.265836491608013
2022,Group Annuities,2,0,0,2,0,2,NaN,0.0
2022,Group Life,51,16,16,17,2,19,0.5,0.3137254901960784
2022,Homeowners,837,111,394,23,309,332,0.2198019801980198,0.13261648745519714
2022,IRA,2,2,0,0,0,0,1.0,1.0
2022,Individual,1760,331,319,87,1023,1110,0.5092307692307693,0.18806818181818183
2022,Individual Annuities,102,29,38,35,0,35,0.43283582089552236,0.28431372549019607
2022,Individual Life,318,71,172,67,8,75,0.29218106995884774,0.22327044025157233
2022,Individual Private Passenger,2182,293,915,59,915,974,0.24254966887417218,0.13428047662694775
2022,Inland Marine,8,2,4,0,2,2,0.3333333333333333,0.25
2022,Mobile Homeowner,4,4,0,0,0,0,1.0,1.0
2022,Motorcycle,23,0,3,0,20,20,0.0,0.0
2022,Motorhome,7,1,6,0,0,0,0.14285714285714285,0.14285714285714285
2022,Motorsport,2,0,2,0,0,0,0.0,0.0
2022,Other [Enter Coverage],6,0,0,0,6,6,NaN,0.0
2022,Pet Insurance,70,32,28,0,10,10,0.5333333333333333,0.45714285714285713
2022,Portable Electronics,3,0,0,0,3,3,NaN,0.0
2022,Products,1,0,0,0,1,1,NaN,0.0
2022,Professional/E&O,3,0,3,0,0,0,0.0,0.0
2022,Rental,2,0,2,0,0,0,0.0,0.0
2022,Renter/Tenants,55,4,30,3,18,21,0.11764705882352941,0.07272727272727272
2022,Title,14,0,0,0,14,14,NaN,0.0
2022,Travel,157,45,42,3,67,70,0.5172413793103449,0.28662420382165604
2022,Umbrella,7,2,3,0,2,2,0.4,0.2857142857142857
2022,Unknown,2,1,0,0,1,1,1.0,0.5
2022,Watercraft,17,0,5,0,12,12,0.0,0.0
2022,Workers' Compensation,33,6,12,14,1,15,0.3333333333333333,0.18181818181818182
2023,,495,0,6,8,481,489,0.0,0.0
2023,A & H,4759,1697,803,539,1720,2259,0.6788,0.3565875183862156
2023,ALL,15751,3892,3709,1441,6709,8150,0.5120378897513485,0.24709542251285632
2023,Auto Warranty,1,0,1,0,0,0,0.0,0.0
2023,Commercial,149,27,43,9,70,79,0.38571428571428573,0.18120805369127516
2023,Commercial Multi-Peril,152,13,41,20,78,98,0.24074074074074073,0.08552631578947369
2023,Condo/Townhome,88,16,41,5,26,31,0.2807017543859649,0.18181818181818182
2023,Credit Accident & Health,46,0,12,0,34,34,0.0,0.0
2023,Crop/Hail,1,0,0,1,0,1,NaN,0.0
2023,Directors & Officers,2,0,2,0,0,0,0.0,0.0
2023,Dwelling Fire,18,0,2,1,15,16,0.0,0.0
2023,Extended Warranty,1,0,1,0,0,0,0.0,0.0
2023,Extended Warranty & Service Contracts,24,4,6,1,13,14,0.4,0.16666666666666666
2023,Federal Flood,2,0,0,2,0,2,NaN,0.0
2023,Fidelity & Surety,2,2,0,0,0,0,1.0,1.0
2023,"Fire, Allied Lines",5,0,1,0,4,4,0.0,0.0
2023,General,35,0,5,4,26,30,0.0,0.0
2023,Group,3272,1053,498,296,1425,1721,0.6789168278529981,0.32182151589242053
2023,Group Annuities,4,2,0,0,2,2,1.0,0.5
2023,Group Homeowners,3,0,0,0,3,3,NaN,0.0
2023,Group Life,46,18,12,14,2,16,0.6,0.391304347826087
2023,Group Private Passenger,2,0,2,0,0,0,0.0,0.0
2023,Homeowners,1107,83,376,107,541,648,0.18082788671023964,0.07497741644083107
2023,Individual,1895,489,386,187,833,1020,0.5588571428571428,0.25804749340369393
2023,Individual Annuities,111,55,38,14,4,18,0.5913978494623656,0.4954954954954955
2023,Individual Life,322,110,162,45,5,50,0.40441176470588236,0.3416149068322981
2023,Individual Private Passenger,2858,263,1140,150,1305,1455,0.18745545260156807,0.09202239328201539
2023,Inland Marine,16,1,6,4,5,9,0.14285714285714285,0.0625
2023,Mobile Homeowner,7,0,3,2,2,4,0.0,0.0
2023,Motorcycle,3,1,2,0,0,0,0.3333333333333333,0.3333333333333333
2023,Motorhome,9,2,3,1,3,4,0.4,0.2222222222222222
2023,Motorsport,1,0,1,0,0,0,0.0,0.0
2023,Ocean Marine,2,0,1,0,1,1,0.0,0.0
2023,Other [Enter Coverage],2,0,2,0,0,0,0.0,0.0
2023,Pet Insurance,41,7,21,0,13,13,0.25,0.17073170731707318
2023,Professional/E&O,16,4,1,1,10,11,0.8,0.25
2023,Rental,10,0,6,0,4,4,0.0,0.0
2023,Renter/Tenants,26,2,7,0,17,17,0.2222222222222222,0.07692307692307693
2023,Surplus Lines,2,0,2,0,0,0,0.0,0.0
2023,Title,8,0,0,5,3,8,NaN,0.0
2023,Travel,121,43,39,2,37,39,0.524390243902439,0.35537190082644626
2023,Umbrella,15,0,9,0,6,6,0.0,0.0
2023,Watercraft,13,0,2,0,11,11,0.0,0.0
2023,Workers' Compensation,59,0,26,23,10,33,0.0,0.0
2024,,664,3,2,7,652,659,0.6,0.004518072289156626
2024,A & H,6087,2237,1416,663,1771,2434,0.6123733917328223,0.3675045178248727
2024,ALL,19988,4909,5428,2213,7438,9651,0.4748960046435136,0.24559735841504904
2024,Accelerated Benefits,1,0,1,0,0,0,0.0,0.0
2024,Builder's Risk,1,0,1,0,0,0,0.0,0.0
2024,Business Interruption,3,0,3,0,0,0,0.0,0.0
2024,Commercial,195,37,48,30,80,110,0.43529411764705883,0.18974358974358974
2024,Commercial Multi-Peril,257,14,65,70,108,178,0.17721518987341772,0.054474708171206226
2024,Condo/Townhome,83,4,32,14,33,47,0.1111111111111111,0.04819277108433735
2024,Credit Accident & Health,38,12,0,6,20,26,1.0,0.3157894736842105
2024,Credit Life,1,0,0,1,0,1,NaN,0.0
2024,Crop/Hail,2,0,2,0,0,0,0.0,0.0
2024,Directors & Officers,2,0,0,2,0,2,NaN,0.0
2024,Dwelling Fire,24,0,0,6,18,24,NaN,0.0
2024,Extended Warranty,2,0,0,0,2,2,NaN,0.0
2024,Extended Warranty & Service Contracts,27,2,13,3,9,12,0.13333333333333333,0.07407407407407407
2024,Federal Flood,4,0,4,0,0,0,0.0,0.0
2024,Fidelity & Surety,5,0,4,1,0,1,0.0,0.0
2024,"Fire, Allied Lines",15,0,0,3,12,15,NaN,0.0
2024,GAP Ins,2,0,0,2,0,2,NaN,0.0
2024,General,22,4,14,2,2,4,0.2222222222222222,0.18181818181818182
2024,Group,4293,1434,930,324,1605,1929,0.6065989847715736,0.33403214535290005
2024,Group Annuities,2,0,2,0,0,0,0.0,0.0
2024,Group Homeowners,1,0,1,0,0,0,0.0,0.0
2024,Group Life,43,7,20,6,10,16,0.25925925925925924,0.16279069767441862
2024,Group Private Passenger,5,2,3,0,0,0,0.4,0.4
2024,Homeowners,1730,85,594,386,665,1051,0.1251840942562592,0.049132947976878616
2024,Individual,2369,666,616,286,801,1087,0.5195007800312013,0.28113127902068386
2024,Individual Annuities,109,25,56,8,20,28,0.30864197530864196,0.22935779816513763
2024,Individual Life,309,51,167,40,51,91,0.23394495412844038,0.1650485436893204
2024,Individual Private Passenger,3317,276,1297,294,1450,1744,0.17546090273363002,0.0832077178173048
2024,Inland Marine,9,1,0,2,6,8,1.0,0.1111111111111111
2024,Mobile Homeowner,11,0,4,2,5,7,0.0,0.0
2024,Motorcycle,7,2,4,0,1,1,0.3333333333333333,0.2857142857142857
2024,Motorhome,14,0,3,2,9,11,0.0,0.0
2024,Other [Enter Coverage],2,0,2,0,0,0,0.0,0.0
2024,Pet Insurance,61,2,39,4,16,20,0.04878048780487805,0.03278688524590164
2024,Portable Electronics,3,0,0,0,3,3,NaN,0.0
2024,Professional/E&O,4,0,4,0,0,0,0.0,0.0
2024,Rental,13,9,0,4,0,4,1.0,0.6923076923076923
2024,Renter/Tenants,42,3,14,3,22,25,0.17647058823529413,0.07142857142857142
2024,Title,4,0,1,2,1,3,0.0,0.0
2024,Travel,132,33,47,19,33,52,0.4125,0.25
2024,Umbrella,19,0,5,0,14,14,0.0,0.0
2024,Watercraft,4,0,1,2,1,3,0.0,0.0
2024,Workers' Compensation,50,0,13,19,18,37,0.0,0.0
2025,,863,2,10,2,849,851,0.16666666666666666,0.002317497103128621
2025,A & H,5653,1615,1243,467,2328,2795,0.5650804758572429,0.2856890146824695
2025,ALL,19184,3772,5275,2145,7992,10137,0.41693379020669835,0.19662218515429525
2025,Builder's Risk,1,1,0,0,0,0,1.0,1.0
2025,Business Interruption,3,0,3,0,0,0,0.0,0.0
2025,Commercial,236,34,59,51,92,143,0.3655913978494624,0.1440677966101695
2025,Commercial Multi-Peril,211,7,75,55,74,129,0.08536585365853659,0.03317535545023697
2025,Condo/Townhome,75,7,24,24,20,44,0.22580645161290322,0.09333333333333334
2025,Dwelling Fire,35,2,7,12,14,26,0.2222222222222222,0.05714285714285714
2025,Extended Warranty & Service Contracts,17,0,7,4,6,10,0.0,0.0
2025,Federal Programs,3,0,1,1,1,2,0.0,0.0
2025,Fidelity & Surety,8,2,4,0,2,2,0.3333333333333333,0.25
2025,"Fire, Allied Lines",10,0,4,0,6,6,0.0,0.0
2025,GAP Ins,2,0,0,2,0,2,NaN,0.0
2025,General,63,6,14,35,8,43,0.3,0.09523809523809523
2025,Group,3361,780,752,200,1629,1829,0.5091383812010444,0.23207378756322522
2025,Group Annuities,4,0,2,1,1,2,0.0,0.0
2025,Group Life,27,15,8,2,2,4,0.6521739130434783,0.5555555555555556
2025,Group Private Passenger,7,0,7,0,0,0,0.0,0.0
2025,Homeowners,1857,125,724,460,548,1008,0.14723203769140164,0.06731287022078622
2025,Individual,2517,632,576,185,1124,1309,0.5231788079470199,0.25109257052046086
2025,Individual Annuities,112,29,65,6,12,18,0.30851063829787234,0.25892857142857145
2025,Individual Life,251,65,149,27,10,37,0.3037383177570093,0.2589641434262948
2025,Individual Private Passenger,3458,402,1340,563,1153,1716,0.23076923076923078,0.11625216888374783
2025,Inland Marine,19,3,6,0,10,10,0.3333333333333333,0.15789473684210525
2025,Mobile Homeowner,12,0,10,0,2,2,0.0,0.0
2025,Motorcycle,2,0,1,1,0,1,0.0,0.0
2025,Motorhome,8,0,5,1,2,3,0.0,0.0
2025,Other [Enter Coverage],3,0,2,1,0,1,0.0,0.0
2025,Pet Insurance,95,19,54,2,20,22,0.2602739726027397,0.2
2025,Portable Electronics,1,0,0,1,0,1,NaN,0.0
2025,Professional/E&O,9,2,6,1,0,1,0.25,0.2222222222222222
2025,Rental,8,0,4,4,0,4,0.0,0.0
2025,Renter/Tenants,62,0,26,9,27,36,0.0,0.0
2025,Title,10,4,1,2,3,5,0.8,0.4
2025,Travel,113,17,45,7,44,51,0.27419354838709675,0.1504424778761062
2025,Umbrella,23,2,16,5,0,5,0.1111111111111111,0.08695652173913043
2025,Watercraft,5,0,4,0,1,1,0.0,0.0
2025,Workers' Compensation,40,1,21,14,4,18,0.045454545454545456,0.025
2026,,405,0,3,5,397,402,0.0,0.0
2026,A & H,3135,792,591,190,1562,1752,0.5726681127982647,0.25263157894736843
2026,ALL,9122,1781,2186,807,4348,5155,0.4489538694227376,0.19524227143170358
2026,Auto Warranty,6,0,6,0,0,0,0.0,0.0
2026,Commercial,62,17,18,5,22,27,0.4857142857142857,0.27419354838709675
2026,Commercial Multi-Peril,84,19,48,9,8,17,0.2835820895522388,0.2261904761904762
2026,Condo/Townhome,14,0,8,4,2,6,0.0,0.0
2026,Dwelling Fire,3,0,0,3,0,3,NaN,0.0
2026,Extended Warranty,2,2,0,0,0,0,1.0,1.0
2026,Extended Warranty & Service Contracts,19,3,9,0,7,7,0.25,0.15789473684210525
2026,Federal Flood,1,0,1,0,0,0,0.0,0.0
2026,Fidelity & Surety,4,0,0,2,2,4,NaN,0.0
2026,"Fire, Allied Lines",1,0,1,0,0,0,0.0,0.0
2026,General,27,6,3,18,0,18,0.6666666666666666,0.2222222222222222
2026,Group,1188,215,294,66,613,679,0.4223968565815324,0.18097643097643099
2026,Group Life,7,2,5,0,0,0,0.2857142857142857,0.2857142857142857
2026,Group Private Passenger,7,0,3,0,4,4,0.0,0.0
2026,Homeowners,535,48,230,153,104,257,0.17266187050359713,0.08971962616822429
2026,Individual,2148,450,337,98,1263,1361,0.5717916137229987,0.20949720670391062
2026,Individual Annuities,31,5,23,2,1,3,0.17857142857142858,0.16129032258064516
2026,Individual Life,85,17,57,3,8,11,0.22972972972972974,0.2
2026,Individual Private Passenger,1191,173,486,229,303,532,0.26251896813353565,0.1452560873215785
2026,Inland Marine,5,1,4,0,0,0,0.2,0.2
2026,Mobile Homeowner,4,2,0,2,0,2,1.0,0.5
2026,Motorcycle,7,0,4,0,3,3,0.0,0.0
2026,Motorhome,1,0,1,0,0,0,0.0,0.0
2026,Ocean Marine,4,0,0,0,4,4,NaN,0.0
2026,Pet Insurance,29,9,14,0,6,6,0.391304347826087,0.3103448275862069
2026,Portable Electronics,1,0,1,0,0,0,0.0,0.0
2026,Professional/E&O,5,0,1,2,2,4,0.0,0.0
2026,Rental,2,0,0,2,0,2,NaN,0.0
2026,Renter/Tenants,40,1,9,10,20,30,0.1,0.025
2026,Title,6,0,0,0,6,6,NaN,0.0
2026,Travel,38,13,17,3,5,8,0.43333333333333335,0.34210526315789475
2026,Umbrella,7,0,1,0,6,6,0.0,0.0
2026,Watercraft,2,0,2,0,0,0,0.0,0.0
2026,Workers' Compensation,16,6,9,1,0,1,0.4,0.375
