state,year,line,company_id,company_name_raw,complaints,written_premium,complaint_ratio_per_million
MI,2024,accident_health,0021047,"UPPER PENINSULA HEALTH PLAN, LLC",1,340266570,0.0
MI,2024,accident_health,0014731,US HEALTH AND LIFE INSURANCE COMPANY,3,1538706,1.95
MI,2024,accident_health,0000867,VISION SERVICE PLAN INSURANCE COMPANY,14,74937031,0.19
MI,2024,accident_health,0001445,WASHINGTON NATIONAL INSURANCE COMPANY,2,10508431,0.19
MI,2024,accident_health,0019392,ZURICH AMERICAN INSURANCE COMPANY,1,5662967,0.18
MI,2024,annuity,0021107,AAA LIFE INSURANCE COMPANY,1,22218758,0.05
MI,2024,annuity,0001660,ALLIANZ LIFE INSURANCE COMPANY OF NORTH AMERICA,6,674743727,0.01
MI,2024,annuity,0001681,AMERICAN EQUITY INVESTMENT LIFE INSURANCE COMPANY,1,234479709,0.0
MI,2024,annuity,0001067,AMERICAN GENERAL LIFE INSURANCE COMPANY,5,591647701,0.01
MI,2024,annuity,0001079,AMERICAN NATIONAL INSURANCE COMPANY,2,189848615,0.01
MI,2024,annuity,0001113,ATHENE ANNUITY AND LIFE COMPANY,2,1437880715,0.0
MI,2024,annuity,0001092,AUTO-OWNERS LIFE INSURANCE COMPANY,1,39937265,0.03
MI,2024,annuity,0001095,BANKERS LIFE AND CASUALTY COMPANY,1,88251688,0.01
MI,2024,annuity,0001627,BRIGHTHOUSE LIFE INSURANCE COMPANY,2,364781242,0.01
MI,2024,annuity,0092088,CLEAR SPRING LIFE AND ANNUITY COMPANY,1,69664464,0.01
MI,2024,annuity,0001160,EQUITABLE FINANCIAL LIFE INSURANCE COMPANY,1,270359190,0.0
MI,2024,annuity,0001164,FARM BUREAU LIFE INSURANCE COMPANY OF MICHIGAN,1,34453992,0.03
MI,2024,annuity,0001172,FIDELITY & GUARANTY LIFE INSURANCE COMPANY,2,588792229,0.0
MI,2024,annuity,0001670,FORETHOUGHT LIFE INSURANCE COMPANY,1,600627425,0.0
MI,2024,annuity,0001235,JACKSON NATIONAL LIFE INSURANCE COMPANY,7,829149846,0.01
MI,2024,annuity,0001253,LIFE INSURANCE COMPANY OF THE SOUTHWEST,2,217477168,0.01
MI,2024,annuity,0001275,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,2,494617828,0.0
MI,2024,annuity,0001278,METROPOLITAN LIFE INSURANCE COMPANY,4,74725246,0.05
MI,2024,annuity,0001281,MIDLAND NATIONAL LIFE INSURANCE COMPANY,1,299667214,0.0
MI,2024,annuity,0001709,NASSAU LIFE AND ANNUITY COMPANY,1,93613594,0.01
MI,2024,annuity,0001311,NATIONAL WESTERN LIFE INSURANCE COMPANY,3,4210456,0.71
MI,2024,annuity,0001677,NATIONWIDE LIFE AND ANNUITY INSURANCE COMPANY,2,225076732,0.01
MI,2024,annuity,0001312,NATIONWIDE LIFE INSURANCE COMPANY,1,371397626,0.0
MI,2024,annuity,0001668,NEW YORK LIFE INSURANCE AND ANNUITY CORPORATION,1,345356372,0.0
MI,2024,annuity,0001316,NEW YORK LIFE INSURANCE COMPANY,1,9867351,0.1
MI,2024,annuity,0001317,NORTH AMERICAN COMPANY FOR LIFE AND HEALTH INSURANCE,1,238356697,0.0
MI,2024,annuity,0001379,OCEANVIEW LIFE AND ANNUITY COMPANY,3,205947229,0.01
MI,2024,annuity,0015260,"S.USA LIFE INSURANCE COMPANY, INC.",1,149628755,0.01
MI,2024,annuity,0001385,SECURITY BENEFIT LIFE INSURANCE COMPANY,2,237900984,0.01
MI,2024,annuity,0022991,SILAC INSURANCE COMPANY,6,306333957,0.02
MI,2024,annuity,0001401,STATE FARM LIFE INSURANCE COMPANY,1,10363284,0.1
MI,2024,annuity,0019343,TIAA-CREF LIFE INSURANCE COMPANY,3,1529258,1.96
MI,2024,annuity,0001613,TRANSAMERICA LIFE INSURANCE COMPANY,1,279474373,0.0
MI,2024,annuity,0001441,"VARIABLE ANNUITY LIFE INSURANCE COMPANY, THE",1,126522511,0.01
MI,2024,annuity,0001618,VOYA RETIREMENT INSURANCE AND ANNUITY COMPANY,1,246902289,0.0
MI,2024,automobile,0000401,ACE AMERICAN INSURANCE COMPANY,1,8324577,0.12
MI,2024,automobile,0000631,ALLSTATE FIRE AND CASUALTY INSURANCE COMPANY,47,423432261,0.11
MI,2024,automobile,0000218,ALLSTATE INSURANCE COMPANY,12,10522642,1.14
MI,2024,automobile,0000182,ALLSTATE PROPERTY AND CASUALTY INSURANCE COMPANY,15,89738731,0.17
MI,2024,automobile,0000242,AMERICAN ECONOMY INSURANCE COMPANY,25,109621416,0.23
MI,2024,automobile,0066001,AMERICAN FAMILY CONNECT PROPERTY AND CASUALTY INSURANCE COMPANY,5,14802003,0.34
MI,2024,automobile,0105350,AMERICAN MODERN PROPERTY AND CASUALTY INSURANCE COMPANY,1,3624011,0.28
MI,2024,automobile,0000260,AMERICAN SELECT INSURANCE COMPANY,6,28635450,0.21
MI,2024,automobile,0000231,AMERISURE INSURANCE COMPANY,1,6605830,0.15
MI,2024,automobile,0000429,AMERISURE MUTUAL INSURANCE COMPANY,1,8561477,0.12
MI,2024,automobile,0020959,AMGUARD INSURANCE COMPANY,1,4050915,0.25
MI,2024,automobile,0000258,AMICA MUTUAL INSURANCE COMPANY,2,13857248,0.14
MI,2024,automobile,0000326,AUTO CLUB GROUP INSURANCE COMPANY,33,162519007,0.2
MI,2024,automobile,0000325,AUTO CLUB INSURANCE ASSOCIATION,17,17881372,0.95
MI,2024,automobile,0000209,AUTO-OWNERS INSURANCE COMPANY,77,1563052867,0.05
MI,2024,automobile,0107158,BERKSHIRE HATHAWAY DIRECT INSURANCE COMPANY,5,1058115,4.73
MI,2024,automobile,0075135,BRISTOL WEST PREFERRED INSURANCE COMPANY,36,96987824,0.37
MI,2024,automobile,0000616,"CINCINNATI CASUALTY COMPANY, THE",1,29517258,0.03
MI,2024,automobile,0000030,"CINCINNATI INSURANCE COMPANY, THE",1,45215073,0.02
MI,2024,automobile,0016316,CITIZENS INSURANCE COMPANY OF THE MIDWEST,45,641309231,0.07
MI,2024,automobile,0107648,CITIZENS UNITED RECIPROCAL EXCHANGE,223,112056325,1.99
MI,2024,automobile,0000818,ESSENTIA INSURANCE COMPANY,4,34559755,0.12
MI,2024,automobile,0050573,ESURANCE PROPERTY AND CASUALTY INSURANCE COMPANY,13,74466362,0.17
MI,2024,automobile,0000006,EVEREST NATIONAL INSURANCE COMPANY,4,3647630,1.1
MI,2024,automobile,0000342,FARM BUREAU GENERAL INSURANCE COMPANY OF MICHIGAN,28,523434447,0.05
MI,2024,automobile,0000343,FARM BUREAU MUTUAL INSURANCE COMPANY OF MICHIGAN,7,89301311,0.08
MI,2024,automobile,0018298,FARMERS DIRECT PROPERTY AND CASUALTY INSURANCE COMPANY,2,1679697,1.19
MI,2024,automobile,0000725,FARMERS GROUP PROPERTY AND CASUALTY INSURANCE COMPANY,10,37851711,0.26
MI,2024,automobile,0000344,FARMERS INSURANCE EXCHANGE,24,75240474,0.32
MI,2024,automobile,0000117,FRANKENMUTH INSURANCE COMPANY,11,243027627,0.05
MI,2024,automobile,0000118,FREMONT INSURANCE COMPANY,8,196363062,0.04
MI,2024,automobile,0000758,GEICO GENERAL INSURANCE COMPANY,5,14613697,0.34
MI,2024,automobile,0000367,GEICO INDEMNITY COMPANY,15,50861304,0.29
MI,2024,automobile,0000368,GOVERNMENT EMPLOYEES INSURANCE COMPANY,25,75360130,0.33
MI,2024,automobile,0024619,GRANGE INSURANCE COMPANY OF MICHIGAN,4,9908233,0.4
MI,2024,automobile,0000047,GREAT WEST CASUALTY COMPANY,1,45518699,0.02
MI,2024,automobile,0000438,HARLEYSVILLE INSURANCE COMPANY,1,2218910,0.45
MI,2024,automobile,0000827,HARTFORD INSURANCE COMPANY OF THE SOUTHEAST,12,18470626,0.65
MI,2024,automobile,0000122,HASTINGS INSURANCE COMPANY,7,70614229,0.1
MI,2024,automobile,0000587,HOME-OWNERS INSURANCE COMPANY,10,11611546,0.86
MI,2024,automobile,0019417,HORACE MANN PROPERTY & CASUALTY INSURANCE COMPANY,2,16292317,0.12
MI,2024,automobile,0000933,INDEMNITY INSURANCE COMPANY OF NORTH AMERICA,1,2421768,0.41
MI,2024,automobile,0000634,INTEGON NATIONAL INSURANCE COMPANY,9,7493202,1.2
MI,2024,automobile,0000417,LIBERTY MUTUAL FIRE INSURANCE COMPANY,4,13540636,0.3
MI,2024,automobile,0000418,LIBERTY MUTUAL INSURANCE COMPANY,1,2733641,0.37
MI,2024,automobile,0116235,LIBERTY MUTUAL PERSONAL INSURANCE COMPANY,59,155888554,0.38
MI,2024,automobile,0017322,"LIBERTY SURPLUS INSURANCE CORPORATION, THE",1,67213533,0.01
MI,2024,automobile,0000776,LM GENERAL INSURANCE COMPANY,17,50947482,0.33
MI,2024,automobile,0000713,LM INSURANCE CORPORATION,1,3955571,0.25
MI,2024,automobile,0000163,MEEMIC INSURANCE COMPANY,35,313161037,0.11
MI,2024,automobile,0000327,MEMBERSELECT INSURANCE COMPANY,153,992161351,0.15
MI,2024,automobile,0000839,MIC GENERAL INSURANCE CORPORATION,1,6586979,0.15
MI,2024,automobile,0002217,MICHIGAN AUTOMOBILE INSURANCE PLACEMENT FACILITY,3,15317115,0.2
MI,2024,automobile,0015812,MICHIGAN INSURANCE COMPANY,2,52392012,0.04
MI,2024,automobile,0000103,MOTORISTS COMMERCIAL MUTUAL INSURANCE COMPANY,1,5905113,0.17
MI,2024,automobile,0000288,NATIONAL FIRE INSURANCE COMPANY OF HARTFORD,1,10613860,0.09
MI,2024,automobile,0000448,NATIONAL GENERAL INSURANCE COMPANY,16,53898624,0.3
MI,2024,automobile,0000229,"NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURGH, PA.",1,17720968,0.06
MI,2024,automobile,0000476,OLD REPUBLIC INSURANCE COMPANY,2,26927021,0.07
MI,2024,automobile,0000188,PHILADELPHIA INDEMNITY INSURANCE COMPANY,1,21332145,0.05
MI,2024,automobile,0000193,PIONEER STATE MUTUAL INSURANCE COMPANY,10,151092101,0.07
MI,2024,automobile,0040548,PROGRESSIVE MARATHON INSURANCE COMPANY,294,1588737596,0.19
MI,2024,automobile,0000010,PROGRESSIVE MICHIGAN INSURANCE COMPANY,107,982586844,0.11
MI,2024,automobile,0002157,PROPERTY AND CASUALTY INSURANCE COMPANY OF HARTFORD,1,10139365,0.1
MI,2024,automobile,0000851,SAFECO INSURANCE COMPANY OF ILLINOIS,7,36403113,0.19
MI,2024,automobile,0000394,SECURA INSURANCE COMPANY,1,31173442,0.03
MI,2024,automobile,0000521,SENTRY INSURANCE COMPANY,2,10820281,0.18
MI,2024,automobile,0000528,STATE AUTOMOBILE MUTUAL INSURANCE COMPANY,2,7934534,0.25
MI,2024,automobile,0000529,STATE FARM FIRE AND CASUALTY COMPANY,8,2081441,3.84
MI,2024,automobile,0000531,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,201,2006059385,0.1
MI,2024,automobile,0000773,TITAN INSURANCE COMPANY,16,37269505,0.43
MI,2024,automobile,0000549,"TRAVELERS INDEMNITY COMPANY OF AMERICA, THE",1,6039451,0.17
MI,2024,automobile,0000551,"TRAVELERS INDEMNITY COMPANY OF CONNECTICUT, THE",1,14396849,0.07
MI,2024,automobile,0000347,TRUCK INSURANCE EXCHANGE,8,54446184,0.15
MI,2024,automobile,0002167,TRUMBULL INSURANCE COMPANY,7,50088706,0.14
MI,2024,automobile,0000561,UNITED SERVICES AUTOMOBILE ASSOCIATION,4,92726641,0.04
MI,2024,automobile,0041267,UNITED STATES FIRE INSURANCE COMPANY,2,6074745,0.33
MI,2024,automobile,0000657,USA UNDERWRITERS INSURANCE COMPANY,15,39230558,0.38
MI,2024,automobile,0000562,USAA CASUALTY INSURANCE COMPANY,26,225990831,0.12
MI,2024,automobile,0000323,VANLINER INSURANCE COMPANY,1,1146989,0.87
MI,2024,automobile,0000473,WESTFIELD INSURANCE COMPANY,1,11528941,0.09
MI,2024,automobile,0000150,WOLVERINE INSURANCE COMPANY,3,18403487,0.16
MI,2024,homeowners,0000219,ALLSTATE INDEMNITY COMPANY,11,16500028,0.67
MI,2024,homeowners,0000218,ALLSTATE INSURANCE COMPANY,6,22206187,0.27
MI,2024,homeowners,0000182,ALLSTATE PROPERTY AND CASUALTY INSURANCE COMPANY,6,32310433,0.19
MI,2024,homeowners,0000817,ALLSTATE VEHICLE AND PROPERTY INSURANCE COMPANY,66,202169378,0.33
MI,2024,homeowners,0000005,AMERICAN BANKERS INSURANCE COMPANY OF FLORIDA,11,14476213,0.76
MI,2024,homeowners,0000242,AMERICAN ECONOMY INSURANCE COMPANY,12,64615608,0.19
MI,2024,homeowners,0066001,AMERICAN FAMILY CONNECT PROPERTY AND CASUALTY INSURANCE COMPANY,2,2294259,0.87
MI,2024,homeowners,0000432,AMERICAN MODERN HOME INSURANCE COMPANY,1,3286420,0.3
MI,2024,homeowners,0105350,AMERICAN MODERN PROPERTY AND CASUALTY INSURANCE COMPANY,6,39877405,0.15
MI,2024,homeowners,0000260,AMERICAN SELECT INSURANCE COMPANY,1,19713296,0.05
MI,2024,homeowners,0103310,AMERICAN STRATEGIC INSURANCE CORP.,36,134847054,0.27
MI,2024,homeowners,0020959,AMGUARD INSURANCE COMPANY,9,11911179,0.76
MI,2024,homeowners,0000326,AUTO CLUB GROUP INSURANCE COMPANY,12,65777299,0.18
MI,2024,homeowners,0000325,AUTO CLUB INSURANCE ASSOCIATION,49,203684495,0.24
MI,2024,homeowners,0000209,AUTO-OWNERS INSURANCE COMPANY,72,745145555,0.1
MI,2024,homeowners,0000272,CENTRAL INSURANCE COMPANY,1,3175915,0.31
MI,2024,homeowners,0016316,CITIZENS INSURANCE COMPANY OF THE MIDWEST,37,345817853,0.11
MI,2024,homeowners,0000922,DEPOSITORS INSURANCE COMPANY,1,6793766,0.15
MI,2024,homeowners,0017590,ESURANCE INSURANCE COMPANY,1,4472364,0.22
MI,2024,homeowners,0000342,FARM BUREAU GENERAL INSURANCE COMPANY OF MICHIGAN,47,237279211,0.2
MI,2024,homeowners,0000343,FARM BUREAU MUTUAL INSURANCE COMPANY OF MICHIGAN,9,122365984,0.07
MI,2024,homeowners,0000725,FARMERS GROUP PROPERTY AND CASUALTY INSURANCE COMPANY,6,15492747,0.39
MI,2024,homeowners,0000344,FARMERS INSURANCE EXCHANGE,4,46075220,0.09
MI,2024,homeowners,0000709,FARMERS MUTUAL INSURANCE COMPANY OF MICHIGAN,1,2283751,0.44
MI,2024,homeowners,0000575,FARMERS PROPERTY AND CASUALTY INSURANCE COMPANY,1,3776638,0.26
MI,2024,homeowners,0000345,FIRE INSURANCE EXCHANGE,11,32687836,0.34
MI,2024,homeowners,0000041,"FOREMOST INSURANCE COMPANY GRAND RAPIDS, MICHIGAN",8,105597515,0.08
MI,2024,homeowners,0000061,FOREMOST PROPERTY AND CASUALTY INSURANCE COMPANY,3,5926019,0.51
MI,2024,homeowners,0000117,FRANKENMUTH INSURANCE COMPANY,12,121965576,0.1
MI,2024,homeowners,0000118,FREMONT INSURANCE COMPANY,13,104923273,0.12
MI,2024,homeowners,0000654,GREAT LAKES MUTUAL INSURANCE COMPANY,2,2630342,0.76
MI,2024,homeowners,0000827,HARTFORD INSURANCE COMPANY OF THE SOUTHEAST,2,6788230,0.29
MI,2024,homeowners,0000122,HASTINGS INSURANCE COMPANY,4,36120909,0.11
MI,2024,homeowners,0000181,HOMESITE INSURANCE COMPANY,2,1755075,1.14
MI,2024,homeowners,0021443,HOMESITE INSURANCE COMPANY OF THE MIDWEST,63,186987641,0.34
MI,2024,homeowners,0111875,LEMONADE INSURANCE COMPANY,4,7490488,0.53
MI,2024,homeowners,0000917,LIBERTY INSURANCE CORPORATION,1,2471682,0.4
MI,2024,homeowners,0000417,LIBERTY MUTUAL FIRE INSURANCE COMPANY,1,12019096,0.08
MI,2024,homeowners,0000418,LIBERTY MUTUAL INSURANCE COMPANY,6,4706068,1.27
MI,2024,homeowners,0116235,LIBERTY MUTUAL PERSONAL INSURANCE COMPANY,19,66956561,0.28
MI,2024,homeowners,0000713,LM INSURANCE CORPORATION,1,4130266,0.24
MI,2024,homeowners,0000163,MEEMIC INSURANCE COMPANY,19,114415832,0.17
MI,2024,homeowners,0000327,MEMBERSELECT INSURANCE COMPANY,49,133112575,0.37
MI,2024,homeowners,0002218,MICHIGAN BASIC PROPERTY INS ASSOCIATION,2,13850464,0.14
MI,2024,homeowners,0015812,MICHIGAN INSURANCE COMPANY,1,13510377,0.07
MI,2024,homeowners,0000451,NATIONWIDE GENERAL INSURANCE COMPANY,7,25805500,0.27
MI,2024,homeowners,0000814,NATIONWIDE PROPERTY AND CASUALTY INSURANCE COMPANY,2,7288179,0.27
MI,2024,homeowners,0000653,NORTHERN MUTUAL INSURANCE COMPANY,1,17738366,0.06
MI,2024,homeowners,0040345,PEERLESS INDEMNITY INSURANCE COMPANY,5,18546442,0.27
MI,2024,homeowners,0000193,PIONEER STATE MUTUAL INSURANCE COMPANY,23,95166039,0.24
MI,2024,homeowners,0093417,PRIVILEGE UNDERWRITERS RECIPROCAL EXCHANGE,1,17914695,0.06
MI,2024,homeowners,0002157,PROPERTY AND CASUALTY INSURANCE COMPANY OF HARTFORD,1,4838488,0.21
MI,2024,homeowners,0000505,SAFECO INSURANCE COMPANY OF AMERICA,3,32347821,0.09
MI,2024,homeowners,0000485,SPINNAKER INSURANCE COMPANY,2,4256168,0.47
MI,2024,homeowners,0000929,STANDARD GUARANTY INSURANCE COMPANY,2,27642828,0.07
MI,2024,homeowners,0000528,STATE AUTOMOBILE MUTUAL INSURANCE COMPANY,2,4003635,0.5
MI,2024,homeowners,0000529,STATE FARM FIRE AND CASUALTY COMPANY,179,736015724,0.24
MI,2024,homeowners,0111446,THIRD COAST INSURANCE COMPANY,1,4498321,0.22
MI,2024,homeowners,0115539,TOWER HILL PRIME INSURANCE COMPANY,1,2707607,0.37
MI,2024,homeowners,0068587,TRAVCO INSURANCE COMPANY,15,21491215,0.7
MI,2024,homeowners,0000347,TRUCK INSURANCE EXCHANGE,4,2961023,1.35
MI,2024,homeowners,0002167,TRUMBULL INSURANCE COMPANY,3,19055619,0.16
MI,2024,homeowners,0000561,UNITED SERVICES AUTOMOBILE ASSOCIATION,2,52273103,0.04
MI,2024,homeowners,0105887,UNIVERSAL PROPERTY & CASUALTY INSURANCE COMPANY,7,18297086,0.38
MI,2024,homeowners,0000562,USAA CASUALTY INSURANCE COMPANY,11,68727477,0.16
MI,2024,homeowners,0000150,WOLVERINE INSURANCE COMPANY,3,10158490,0.3
MI,2024,life,0021107,AAA LIFE INSURANCE COMPANY,15,52334813,0.29
MI,2024,life,0085598,ACCENDO INSURANCE COMPANY,4,4304200,0.93
MI,2024,life,0001660,ALLIANZ LIFE INSURANCE COMPANY OF NORTH AMERICA,1,39254959,0.03
MI,2024,life,0112481,AMERICAN FAMILY LIFE ASSURANCE COMPANY OF COLUMBUS,1,7294181,0.14
MI,2024,life,0001067,AMERICAN GENERAL LIFE INSURANCE COMPANY,5,100961797,0.05
MI,2024,life,0001071,AMERICAN INCOME LIFE INSURANCE COMPANY,8,39631194,0.2
MI,2024,life,0001357,AMERICAN MEMORIAL LIFE INSURANCE COMPANY,1,7625661,0.13
MI,2024,life,0001082,AMERICAN UNITED LIFE INSURANCE COMPANY,1,18660401,0.05
MI,2024,life,0001125,AMERICO FINANCIAL LIFE AND ANNUITY INSURANCE COMPANY,5,14929603,0.33
MI,2024,life,0001113,ATHENE ANNUITY AND LIFE COMPANY,2,5482161,0.36
MI,2024,life,0001646,AUGUSTAR LIFE ASSURANCE CORPORATION,1,15661249,0.06
MI,2024,life,0001095,BANKERS LIFE AND CASUALTY COMPANY,3,26442929,0.11
MI,2024,life,0001716,BANNER LIFE INSURANCE COMPANY,1,45547376,0.02
MI,2024,life,0001627,BRIGHTHOUSE LIFE INSURANCE COMPANY,3,54652529,0.05
MI,2024,life,0001554,"CANADA LIFE ASSURANCE COMPANY, THE",1,1479562,0.68
MI,2024,life,0001150,CMFG LIFE INSURANCE COMPANY,2,57608952,0.03
MI,2024,life,0001129,COLONIAL PENN LIFE INSURANCE COMPANY,1,13173795,0.08
MI,2024,life,0001512,COLUMBIAN LIFE INSURANCE COMPANY,1,7293142,0.14
MI,2024,life,0001745,COLUMBUS LIFE INSURANCE COMPANY,2,6787645,0.29
MI,2024,life,0001131,COMBINED INSURANCE COMPANY OF AMERICA,1,2806579,0.36
MI,2024,life,0001137,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,1,5559972,0.18
MI,2024,life,0001469,DEARBORN LIFE INSURANCE COMPANY,1,17510165,0.06
MI,2024,life,0001160,EQUITABLE FINANCIAL LIFE INSURANCE COMPANY,3,79554599,0.04
MI,2024,life,0001053,EVERLAKE LIFE INSURANCE COMPANY,3,9306978,0.32
MI,2024,life,0001164,FARM BUREAU LIFE INSURANCE COMPANY OF MICHIGAN,3,100318699,0.03
MI,2024,life,0001172,FIDELITY & GUARANTY LIFE INSURANCE COMPANY,1,11872288,0.08
MI,2024,life,0001174,"FIDELITY LIFE ASSOCIATION, A LEGAL RESERVE LIFE INSURANCE COMPANY",1,6167324,0.16
MI,2024,life,0001254,GENWORTH LIFE AND ANNUITY INSURANCE COMPANY,5,25395480,0.2
MI,2024,life,0001431,GENWORTH LIFE INSURANCE COMPANY,1,7318866,0.14
MI,2024,life,0001463,GERBER LIFE INSURANCE COMPANY,3,17329444,0.17
MI,2024,life,0001666,GLOBE LIFE AND ACCIDENT INSURANCE COMPANY,6,28994169,0.21
MI,2024,life,0001206,"GUARDIAN LIFE INSURANCE COMPANY OF AMERICA, THE",1,78117049,0.01
MI,2024,life,0001460,HARTFORD LIFE AND ACCIDENT INSURANCE COMPANY,4,48107258,0.08
MI,2024,life,0001042,"INDEPENDENT ORDER OF FORESTERS, THE",5,18232894,0.27
MI,2024,life,0001235,JACKSON NATIONAL LIFE INSURANCE COMPANY,8,22457290,0.36
MI,2024,life,0001268,JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.),2,178948785,0.01
MI,2024,life,0001240,KANSAS CITY LIFE INSURANCE COMPANY,1,6526847,0.15
MI,2024,life,0001244,"LAFAYETTE LIFE INSURANCE COMPANY, THE",1,10393968,0.1
MI,2024,life,0001252,LIFE INSURANCE COMPANY OF NORTH AMERICA,1,44247240,0.02
MI,2024,life,0001257,LINCOLN BENEFIT LIFE COMPANY,3,39769151,0.08
MI,2024,life,0001260,"LINCOLN NATIONAL LIFE INSURANCE COMPANY, THE",8,289806554,0.03
MI,2024,life,0001275,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,1,138544591,0.01
MI,2024,life,0001278,METROPOLITAN LIFE INSURANCE COMPANY,28,606839639,0.05
MI,2024,life,0001729,METROPOLITAN TOWER LIFE INSURANCE COMPANY,3,20943945,0.14
MI,2024,life,0001281,MIDLAND NATIONAL LIFE INSURANCE COMPANY,1,26349679,0.04
MI,2024,life,0001306,NATIONAL LIFE INSURANCE COMPANY,1,6126541,0.16
MI,2024,life,0001316,NEW YORK LIFE INSURANCE COMPANY,4,119315724,0.03
MI,2024,life,0001317,NORTH AMERICAN COMPANY FOR LIFE AND HEALTH INSURANCE,5,33092878,0.15
MI,2024,life,0001323,"NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY, THE",1,374854039,0.0
MI,2024,life,0001326,OCCIDENTAL LIFE INSURANCE COMPANY OF NORTH CAROLINA,2,11655600,0.17
MI,2024,life,0001330,OLD AMERICAN INSURANCE COMPANY,1,2492469,0.4
MI,2024,life,0001340,PAN-AMERICAN LIFE INSURANCE COMPANY,1,8635650,0.12
MI,2024,life,0001488,PHYSICIANS LIFE INSURANCE COMPANY,2,12325536,0.16
MI,2024,life,0001273,PRIMERICA LIFE INSURANCE COMPANY,1,70461454,0.01
MI,2024,life,0001365,PROVIDENT LIFE AND ACCIDENT INSURANCE COMPANY,1,4712992,0.21
MI,2024,life,0001539,PRUCO LIFE INSURANCE COMPANY,1,156838867,0.01
MI,2024,life,0001368,"PRUDENTIAL INSURANCE COMPANY OF AMERICA, THE",11,77925404,0.14
MI,2024,life,0001377,RELIANCE STANDARD LIFE INSURANCE COMPANY,2,26759513,0.07
MI,2024,life,0001324,RELIASTAR LIFE INSURANCE COMPANY,3,38467964,0.08
MI,2024,life,0001033,ROYAL NEIGHBORS OF AMERICA,8,7470135,1.07
MI,2024,life,0015260,"S.USA LIFE INSURANCE COMPANY, INC.",1,5680073,0.18
MI,2024,life,0001386,SECURITY LIFE OF DENVER INSURANCE COMPANY,1,10161322,0.1
MI,2024,life,0088640,SENIOR LIFE INSURANCE COMPANY,4,3152905,1.27
MI,2024,life,0001401,STATE FARM LIFE INSURANCE COMPANY,4,153356679,0.03
MI,2024,life,0001560,SUN LIFE ASSURANCE COMPANY OF CANADA,1,43637277,0.02
MI,2024,life,0019343,TIAA-CREF LIFE INSURANCE COMPANY,2,5511878,0.36
MI,2024,life,0001613,TRANSAMERICA LIFE INSURANCE COMPANY,16,75364005,0.21
MI,2024,life,0001104,TRUSTMARK INSURANCE COMPANY,1,8062031,0.12
MI,2024,life,0001594,U.S. FINANCIAL LIFE INSURANCE COMPANY,3,3313919,0.91
MI,2024,life,0001429,UNITED INSURANCE COMPANY OF AMERICA,3,7145168,0.42
MI,2024,life,0001425,UNITED OF OMAHA LIFE INSURANCE COMPANY,9,132651902,0.07
MI,2024,life,0001134,UNUM LIFE INSURANCE COMPANY OF AMERICA,4,77239960,0.05
MI,2024,life,0001446,WEST COAST LIFE INSURANCE COMPANY,1,15333200,0.07
MI,2024,life,0001676,WESTERN-SOUTHERN LIFE ASSURANCE COMPANY,1,9627766,0.1
MI,2024,life,0001144,WILCAC LIFE INSURANCE COMPANY,5,2494603,2.0
