data_year,guide_year,plan_type,plan_name,rank,total_complaints_dfs,upheld_complaints_dfs,premiums_millions,complaint_ratio_dfs,total_complaints_doh,upheld_complaints_doh
2021,2022,EPO/PPO,Aetna Life Insurance Company,10,304,105,1841.01,0.057,,
2021,2022,EPO/PPO,"Empire HealthChoice Assurance, Inc.",11,400,221,3535.21,0.0625,,
2021,2022,EPO/PPO,Oscar Insurance Corporation,12,113,31,163.45,0.1897,,
2021,2022,EPO/PPO,EmblemHealth Insurance Company,13,74,25,104.99,0.2381,,
2021,2022,EPO/PPO,"Healthfirst Insurance Company, Inc.",14,40,24,71.77,0.3344,,
2021,2022,EPO/PPO,"EmblemHealth Plan, Inc.",15,2365,644,595.85,1.0808,,
2021,2022,EPO/PPO,Independent Health Benefits Corporation3,18,0,0,383.6,0.0,,
2021,2022,EPO/PPO,MVP Health Services Corporation3,18,1,0,705.48,0.0,,
2021,2022,EPO/PPO,Highmark Western and Northeastern New York Inc.3,22,3,0,1836.01,0.0,,
2021,2022,EPO/PPO,EmblemHealth Insurance Company3,74,18,10,104.99,0.0952,,
2021,2022,EPO/PPO,"Excellus Health Plan, Inc.3",91,17,5,3600.47,0.0014,,
2021,2022,EPO/PPO,UnitedHealthcare Insurance Company of New York3,132,29,13,2022.13,0.0064,,
2021,2022,EPO/PPO,CIGNA Health and Life Insurance Company3,146,51,30,1576.43,0.019,,
2021,2022,EPO/PPO,Aetna Life Insurance Company3,304,84,41,1841.01,0.0223,,
2021,2022,EPO/PPO,"Empire HealthChoice Assurance, Inc.3",400,148,94,3535.21,0.0266,,
2021,2022,EPO/PPO,"Oxford Health Insurance, Inc.3",717,167,56,6310.6,0.0089,,
2021,2022,EPO/PPO,"EmblemHealth Plan, Inc.3",2365,438,284,595.85,0.4766,,
2021,2022,HMO,Excellus Health Plan,1,6,0,494.86,0.0,1,0
2021,2022,HMO,"MVP Health Plan, Inc.",2,12,0,489.92,0.0,0,0
2021,2022,HMO,"Independent Health Association, Inc.",3,3,0,217.13,0.0,0,0
2021,2022,HMO,Capital District Physicians Health Plan,4,11,3,619.28,0.0048,0,0
2021,2022,HMO,"UnitedHealthcare of New York, Inc.",6,45,14,207.24,0.0676,0,0
2021,2022,HMO,HIP Health Maintenance Organization,7,655,252,2755.65,0.0914,0,0
2022,2023,Commercial,"Eastern Vision Service Plan, Inc.4",0,0,0,100.11,0.0,,
2022,2023,Commercial,Hartford Life and Accident Insurance Company,1,8,0,447.59,0.0,,
2022,2023,Commercial,Sun Life and Health Insurance Company,2,2,0,228.21,0.0,,
2022,2023,Commercial,Standard Security Life Insurance Company of New York,3,0,0,214.2,0.0,,
2022,2023,Commercial,Lincoln Life and Annuity Company of New York,4,10,0,214.13,0.0,,
2022,2023,Commercial,Mutual of Omaha Insurance Company,5,2,0,112.97,0.0,,
2022,2023,Commercial,HCC Life Insurance Company,6,0,0,105.08,0.0,,
2022,2023,Commercial,Northwestern Mutual Life Insurance Company,7,0,0,104.75,0.0,,
2022,2023,Commercial,First Reliance Standard Life Insurance Company,8,3,0,103.67,0.0,,
2022,2023,Commercial,"Dentcare Delivery Systems, Inc.3",8,3,0,52.51,0.0,,
2022,2023,Commercial,"Eastern Vision Service Plan, Inc.",9,0,0,100.11,0.0,,
2022,2023,Commercial,HM Life Insurance Company of New York,10,0,0,96.22,0.0,,
2022,2023,Commercial,Transamerica Financial Life Insurance Company,11,5,0,88.75,0.0,,
2022,2023,Commercial,Principal Life Insurance Company,12,2,0,88.06,0.0,,
2022,2023,Commercial,Berkshire Life Insurance Company of America,13,0,0,78.84,0.0,,
2022,2023,Commercial,Provident Life and Casualty Insurance Company,14,0,0,77.37,0.0,,
2022,2023,Commercial,Fidelity Security Life Insurance Company of New York,15,0,0,63.28,0.0,,
2022,2023,Commercial,ReliaStar Life Insurance Company of New York,16,0,0,55.9,0.0,,
2022,2023,Commercial,"Dentcare Delivery Systems, Inc.",17,8,0,52.51,0.0,,
2022,2023,Commercial,ShelterPoint Life Insurance Company,18,1,1,514.0,0.0019,,
2022,2023,Commercial,First Unum Life Insurance Company,19,12,2,380.36,0.0053,,
2022,2023,Commercial,Standard Life Insurance Company of New York,20,1,1,101.15,0.0099,,
2022,2023,Commercial,Massachusetts Mutual Life Insurance Company,21,2,1,84.02,0.0119,,
2022,2023,Commercial,"Delta Dental of New York, Inc.3",21,0,0,193.56,0.0,,
2022,2023,Commercial,Prudential Insurance Company of America,22,9,2,165.06,0.0121,,
2022,2023,Commercial,New York Life Group Insurance Company of New York,23,9,3,241.36,0.0124,,
2022,2023,Commercial,Guardian Life Insurance Company of America,24,23,7,541.34,0.0129,,
2022,2023,Commercial,American Family Life Assurance Company of New York,25,20,4,304.57,0.0131,,
2022,2023,Commercial,Metropolitan Life Insurance Company,26,44,14,972.21,0.0144,,
2022,2023,Commercial,"Delta Dental of New York, Inc.",27,21,4,193.56,0.0207,,
2022,2023,Commercial,Wellfleet New York Insurance Company,28,11,4,170.23,0.0235,,
2022,2023,Commercial,New York Life Insurance Company,29,6,2,79.92,0.025,,
2022,2023,Commercial,John Hancock Life & Health Insurance Company,30,19,3,119.67,0.0251,,
2022,2023,Commercial,Genworth Life Insurance Company of New York,31,30,5,179.19,0.0279,,
2022,2023,Commercial,Combined Life Insurance Company of New York,32,27,9,127.36,0.0707,,
2022,2023,EPO/PPO,Independent Health Benefits Corporation,1,10,2,464.27,0.0043,,
2022,2023,EPO/PPO,"CDPHP Universal Benefits, Inc.",2,7,3,540.88,0.0055,,
2022,2023,EPO/PPO,MVP Health Services Corporation,3,19,7,696.36,0.0101,,
2022,2023,EPO/PPO,Nippon Life Insurance Company of America,4,5,1,95.33,0.0105,,
2022,2023,EPO/PPO,"Excellus Health Plan, Inc.",5,89,34,2861.02,0.0119,,
2022,2023,EPO/PPO,Nippon Life Insurance Company of America3,5,2,0,95.33,0.0,,
2022,2023,EPO/PPO,Highmark Western and Northeastern New York Inc.,6,62,26,1651.96,0.0157,,
2022,2023,EPO/PPO,UnitedHealthcare Insurance Company of New York,7,116,40,2073.92,0.0193,,
2022,2023,EPO/PPO,EmblemHealth Insurance Company,8,44,4,164.93,0.0243,,
2022,2023,EPO/PPO,"Oxford Health Insurance, Inc.",9,750,270,6311.04,0.0428,,
2022,2023,EPO/PPO,Aetna Life Insurance Company,10,333,144,2054.87,0.0701,,
2022,2023,EPO/PPO,Independent Health Benefits Corporation3,10,1,0,464.27,0.0,,
2022,2023,EPO/PPO,"Empire HealthChoice Assurance, Inc.",11,509,287,4051.73,0.0708,,
2022,2023,EPO/PPO,CIGNA Health and Life Insurance Company,12,260,127,1699.09,0.0747,,
2022,2023,EPO/PPO,"Healthfirst Insurance Company, Inc.",13,40,26,88.16,0.2949,,
2022,2023,EPO/PPO,Oscar Insurance Corporation,14,188,86,122.24,0.7035,,
2022,2023,EPO/PPO,"EmblemHealth Plan, Inc.",15,1433,644,429.99,1.4977,,
2022,2023,EPO/PPO,MVP Health Services Corporation3,19,9,5,696.36,0.0072,,
2022,2023,EPO/PPO,"Healthfirst Insurance Company, Inc.4",40,19,13,88.16,0.1475,,
2022,2023,EPO/PPO,EmblemHealth Insurance Company3,44,5,3,164.93,0.0182,,
2022,2023,EPO/PPO,Highmark Western and Northeastern New York Inc.3,62,14,8,1651.96,0.0048,,
2022,2023,EPO/PPO,"Excellus Health Plan, Inc.3",89,13,11,2861.02,0.0038,,
2022,2023,EPO/PPO,UnitedHealthcare Insurance Company of New York3,116,23,16,2073.92,0.0077,,
2022,2023,EPO/PPO,CIGNA Health and Life Insurance Company3,260,102,56,1699.09,0.033,,
2022,2023,EPO/PPO,Aetna Life Insurance Company3,333,116,61,2054.87,0.0297,,
2022,2023,EPO/PPO,"Empire HealthChoice Assurance, Inc.3",509,213,144,4051.73,0.0355,,
2022,2023,EPO/PPO,"Oxford Health Insurance, Inc.3",750,238,111,6311.04,0.0176,,
2022,2023,EPO/PPO,"EmblemHealth Plan, Inc.3",1433,438,303,429.99,0.7047,,
2022,2023,HMO,Excellus Health Plan,1,5,0,424.76,0.0,0,0
2022,2023,HMO,"Independent Health Association, Inc.",2,2,0,218.05,0.0,0,0
2022,2023,HMO,Capital District Physicians Health Plan,3,8,3,624.41,0.0048,0,0
2022,2023,HMO,"MVP Health Plan, Inc.",4,14,5,469.36,0.0107,0,0
2022,2023,HMO,Highmark Western and Northeastern,5,5,5,185.61,0.0269,0,0
2022,2023,HMO,"UnitedHealthcare of New York, Inc.",6,60,28,638.45,0.0439,0,0
2022,2023,HMO,HIP Health Maintenance Organization,7,636,378,2667.08,0.1417,1,0
2023,2024,Commercial,Standard Security Life Insurance Company of New York,1,1,0,209.17,0.0,,
2023,2024,Commercial,Standard Security Life Insurance Company of New,1,0,0,209.17,0.0,,
2023,2024,Commercial,"Eastern Vision Service Plan, Inc.4",1,0,0,105.84,0.0,,
2023,2024,Commercial,First Reliance Standard Life Insurance Company,2,0,0,118.55,0.0,,
2023,2024,Commercial,Mutual of Omaha Insurance Company,3,3,0,117.92,0.0,,
2023,2024,Commercial,HCC Life Insurance Company,4,0,0,109.65,0.0,,
2023,2024,Commercial,Northwestern Mutual Life Insurance Company,5,3,0,107.7,0.0,,
2023,2024,Commercial,"Eastern Vision Service Plan, Inc.",6,1,0,105.84,0.0,,
2023,2024,Commercial,Standard Life Insurance Company of New York,7,2,0,100.04,0.0,,
2023,2024,Commercial,HM Life Insurance Company of New York,8,0,0,93.89,0.0,,
2023,2024,Commercial,Provident Life and Casualty Insurance Company,9,2,0,86.37,0.0,,
2023,2024,Commercial,Massachusetts Mutual Life Insurance Company,10,3,0,83.75,0.0,,
2023,2024,Commercial,Berkshire Life Insurance Company of America,11,2,0,81.41,0.0,,
2023,2024,Commercial,American Family Life Assurance Company of New,11,3,3,305.62,0.0098,,
2023,2024,Commercial,Fidelity Security Life Insurance Company of New York,12,0,0,62.77,0.0,,
2023,2024,Commercial,ReliaStar Life Insurance Company of New York,13,0,0,60.45,0.0,,
2023,2024,Commercial,First Symetra National Life Company of New York,14,0,0,59.33,0.0,,
2023,2024,Commercial,Union Labor Life Insurance Company,15,0,0,53.55,0.0,,
2023,2024,Commercial,ShelterPoint Life Insurance Company,16,1,1,487.65,0.0021,,
2023,2024,Commercial,First Unum Life Insurance Company,17,9,1,377.74,0.0026,,
2023,2024,Commercial,Hartford Life and Accident Insurance Company,18,6,2,570.22,0.0035,,
2023,2024,Commercial,Sun Life and Health Insurance Company,19,4,1,247.03,0.004,,
2023,2024,Commercial,Lincoln Life and Annuity Company of New York,20,8,1,222.05,0.0045,,
2023,2024,Commercial,Combined Life Insurance Company of New York,21,13,1,120.07,0.0083,,
2023,2024,Commercial,Guardian Life Insurance Company of America,22,24,5,538.52,0.0093,,
2023,2024,Commercial,New York Life Group Insurance Company of New York,23,5,2,214.5,0.0093,,
2023,2024,Commercial,Principal Life Insurance Company,24,4,1,90.89,0.011,,
2023,2024,Commercial,Prudential Insurance Company of America,25,8,2,172.89,0.0116,,
2023,2024,Commercial,Metropolitan Life Insurance Company,26,57,16,920.57,0.0174,,
2023,2024,Commercial,American Family Life Assurance Company of New York,27,11,7,305.62,0.0229,,
2023,2024,Commercial,Wellfleet New York Insurance Company,28,18,3,119.74,0.0251,,
2023,2024,Commercial,"Delta Dental of New York, Inc.",29,29,7,196.27,0.0357,,
2023,2024,Commercial,"Delta Dental of New York, Inc.3",29,15,3,196.27,0.0153,,
2023,2024,Commercial,New York Life Insurance Company,30,9,3,82.34,0.0364,,
2023,2024,Commercial,Genworth Life Insurance Company of New York,31,42,7,186.43,0.0375,,
2023,2024,Commercial,Transamerica Financial Life Insurance Company,32,13,4,92.08,0.0434,,
2023,2024,Commercial,John Hancock Life & Health Insurance Company,33,27,7,114.33,0.0612,,
2023,2024,EPO/PPO,Independent Health Benefits Corporation,1,10,3,615.06,0.0049,,
2023,2024,EPO/PPO,"CDPHP Universal Benefits, Inc.",2,11,3,574.46,0.0052,,
2023,2024,EPO/PPO,Nippon Life Insurance Company of America3,3,0,0,102.11,0.0,,
2023,2024,EPO/PPO,MVP Health Services Corporation,3,21,4,671.81,0.006,,
2023,2024,EPO/PPO,"Excellus Health Plan, Inc.",4,87,30,2962.79,0.0101,,
2023,2024,EPO/PPO,Nippon Life Insurance Company of America,5,3,2,102.11,0.0196,,
2023,2024,EPO/PPO,UnitedHealthcare Insurance Company of New York,6,169,62,2276.82,0.0272,,
2023,2024,EPO/PPO,Highmark Western and Northeastern New York Inc.,7,128,65,1167.44,0.0557,,
2023,2024,EPO/PPO,"Anthem HealthChoice Assurance, Inc.",8,523,260,3905.65,0.0666,,
2023,2024,EPO/PPO,"Oxford Health Insurance, Inc.",9,1246,568,6359.34,0.0893,,
2023,2024,EPO/PPO,Independent Health Benefits Corporation3,10,2,1,615.06,0.0016,,
2023,2024,EPO/PPO,CIGNA Health and Life Insurance Company,10,325,231,2127.69,0.1086,,
2023,2024,EPO/PPO,EmblemHealth Insurance Company,11,30,16,128.74,0.1243,,
2023,2024,EPO/PPO,Aetna Life Insurance Company,12,618,297,2291.84,0.1296,,
2023,2024,EPO/PPO,Oscar Insurance Corporation,13,204,105,104.7,1.0029,,
2023,2024,EPO/PPO,"EmblemHealth Plan, Inc.",14,1642,959,478.69,2.0034,,
2023,2024,EPO/PPO,MVP Health Services Corporation3,21,5,2,671.81,0.003,,
2023,2024,EPO/PPO,EmblemHealth Insurance Company3,30,13,7,128.74,0.0544,,
2023,2024,EPO/PPO,"Excellus Health Plan, Inc.3",87,27,16,2962.79,0.0054,,
2023,2024,EPO/PPO,Highmark Western and Northeastern New York Inc.3,128,38,23,1167.44,0.0197,,
2023,2024,EPO/PPO,UnitedHealthcare Insurance Company of New York3,169,58,27,2276.82,0.0119,,
2023,2024,EPO/PPO,CIGNA Health and Life Insurance Company3,325,183,150,2127.69,0.0705,,
2023,2024,EPO/PPO,"Anthem HealthChoice Assurance, Inc.3,4",523,215,119,3905.65,0.0305,,
2023,2024,EPO/PPO,Aetna Life Insurance Company3,618,298,165,2291.84,0.072,,
2023,2024,EPO/PPO,"Oxford Health Insurance, Inc.3",1246,512,256,6359.34,0.0403,,
2023,2024,EPO/PPO,"EmblemHealth Plan, Inc.3",1642,503,329,478.69,0.6873,,
2023,2024,HMO,Excellus Health Plan,1,7,0,540.62,0.0,0,0
2023,2024,HMO,"Independent Health Association, Inc.",2,5,1,250.21,0.004,0,0
2023,2024,HMO,"MVP Health Plan, Inc.",3,10,3,483.39,0.0062,0,0
2023,2024,HMO,Capital District Physicians Health Plan,4,77,5,655.24,0.0076,0,0
2023,2024,HMO,"UnitedHealthcare of New York, Inc.",5,49,23,877.43,0.0262,0,0
2023,2024,HMO,HIP Health Maintenance Organization,7,1117,756,3053.55,0.2476,1,0
2024,2025,Commercial,Standard Security Life Insurance Company of New,0,0,0,189.09,0.0,,
2024,2025,Commercial,"Eastern Vision Service Plan, Inc.4",0,0,0,106.75,0.0,,
2024,2025,Commercial,New York Life Group Insurance Company of New York,1,4,0,199.24,0.0,,
2024,2025,Commercial,Standard Security Life Insurance Company of New York,2,0,0,189.09,0.0,,
2024,2025,Commercial,HCC Life Insurance Company,3,0,0,116.96,0.0,,
2024,2025,Commercial,First Reliance Standard Life Insurance Company,4,2,0,116.39,0.0,,
2024,2025,Commercial,Northwestern Mutual Life Insurance Company,5,3,0,110.41,0.0,,
2024,2025,Commercial,"Eastern Vision Service Plan, Inc.",6,0,0,106.75,0.0,,
2024,2025,Commercial,HM Life Insurance Company of New York,7,0,0,90.96,0.0,,
2024,2025,Commercial,Principal Life Insurance Company,8,2,0,90.85,0.0,,
2024,2025,Commercial,Berkshire Life Insurance Company of America,9,0,0,83.88,0.0,,
2024,2025,Commercial,Massachusetts Mutual Life Insurance Company,10,1,0,83.12,0.0,,
2024,2025,Commercial,ReliaStar Life Insurance Company of New York,11,0,0,71.29,0.0,,
2024,2025,Commercial,First Symetra National Life Company of New York,12,0,0,68.75,0.0,,
2024,2025,Commercial,Fidelity Security Life Insurance Company of New York,13,0,0,65.8,0.0,,
2024,2025,Commercial,Union Labor Life Insurance Company,14,0,0,55.86,0.0,,
2024,2025,Commercial,ShelterPoint Life Insurance Company,15,3,1,436.2,0.0023,,
2024,2025,Commercial,Hartford Life and Accident Insurance Company,16,9,2,542.63,0.0037,,
2024,2025,Commercial,Sun Life and Health Insurance Company,17,4,1,253.77,0.0039,,
2024,2025,Commercial,Lincoln Life and Annuity Company of New York,18,9,1,209.0,0.0048,,
2024,2025,Commercial,Prudential Insurance Company of America,19,3,1,162.26,0.0062,,
2024,2025,Commercial,Mutual of Omaha Insurance Company,20,6,1,121.35,0.0082,,
2024,2025,Commercial,Standard Life Insurance Company of New York,21,3,1,105.33,0.0095,,
2024,2025,Commercial,Guardian Life Insurance Company of America,22,23,5,525.28,0.0095,,
2024,2025,Commercial,Provident Life and Casualty Insurance Company,23,3,1,94.25,0.0106,,
2024,2025,Commercial,"Delta Dental of New York, Inc.3",23,11,1,211.85,0.0047,,
2024,2025,Commercial,First Unum Life Insurance Company,24,16,4,368.56,0.0109,,
2024,2025,Commercial,New York Life Insurance Company,25,6,1,85.25,0.0117,,
2024,2025,Commercial,American Family Life Assurance Company of New York,26,10,4,315.26,0.0127,,
2024,2025,Commercial,Wellfleet New York Insurance Company,27,7,2,117.7,0.017,,
2024,2025,Commercial,Metropolitan Life Insurance Company,28,45,20,1007.76,0.0198,,
2024,2025,Commercial,Transamerica Financial Life Insurance Company,29,7,2,96.95,0.0206,,
2024,2025,Commercial,"Delta Dental of New York, Inc.",30,23,5,211.85,0.0236,,
2024,2025,Commercial,Combined Life Insurance Company of New York,31,11,4,111.2,0.036,,
2024,2025,Commercial,Genworth Life Insurance Company of New York,32,67,7,174.61,0.0401,,
2024,2025,Commercial,John Hancock Life & Health Insurance Company,33,33,7,106.32,0.0658,,
2024,2025,EPO/PPO,Independent Health Benefits Corporation,1,3,0,696.03,0.0,,
2024,2025,EPO/PPO,MVP Health Services Corporation,2,9,1,729.67,0.0014,,
2024,2025,EPO/PPO,"CDPHP Universal Benefits, Inc.",3,5,1,599.6,0.0017,,
2024,2025,EPO/PPO,Independent Health Benefits Corporation3,3,0,0,696.03,0.0,,
2024,2025,EPO/PPO,Nippon Life Insurance Company of America,4,7,1,106.85,0.0094,,
2024,2025,EPO/PPO,"Excellus Health Plan, Inc.",5,74,36,2958.55,0.0122,,
2024,2025,EPO/PPO,Highmark Western and Northeastern New York Inc.,6,48,23,1154.63,0.0199,,
2024,2025,EPO/PPO,Nippon Life Insurance Company of America3,7,1,1,106.85,0.0094,,
2024,2025,EPO/PPO,"Anthem HealthChoice Assurance, Inc.",7,505,225,3865.01,0.0582,,
2024,2025,EPO/PPO,UnitedHealthcare Insurance Company of New York,8,181,69,976.91,0.0706,,
2024,2025,EPO/PPO,MVP Health Services Corporation3,9,5,1,729.67,0.0014,,
2024,2025,EPO/PPO,"Oxford Health Insurance, Inc.",9,1255,589,6580.98,0.0895,,
2024,2025,EPO/PPO,Aetna Life Insurance Company,10,488,259,2467.42,0.105,,
2024,2025,EPO/PPO,CIGNA Health and Life Insurance Company,11,478,321,2207.6,0.1454,,
2024,2025,EPO/PPO,Oscar Insurance Corporation,12,152,81,114.0,0.7105,,
2024,2025,EPO/PPO,"EmblemHealth Plan, Inc.",13,1529,841,512.45,1.6411,,
2024,2025,EPO/PPO,Highmark Western and Northeastern New York Inc.3,48,20,13,1154.63,0.0113,,
2024,2025,EPO/PPO,"Excellus Health Plan, Inc.3",74,29,23,2958.55,0.0078,,
2024,2025,EPO/PPO,UnitedHealthcare Insurance Company of New York3,181,45,19,976.91,0.0194,,
2024,2025,EPO/PPO,CIGNA Health and Life Insurance Company3,478,186,121,2207.6,0.0548,,
2024,2025,EPO/PPO,Aetna Life Insurance Company3,488,153,83,2467.42,0.0336,,
2024,2025,EPO/PPO,"Anthem HealthChoice Assurance, Inc.3",505,212,90,3865.01,0.0233,,
2024,2025,EPO/PPO,"Oxford Health Insurance, Inc.3",1255,453,242,6580.98,0.0368,,
2024,2025,EPO/PPO,"EmblemHealth Plan, Inc.3",1529,351,250,512.45,0.4879,,
2024,2025,HMO,Excellus Health Plan,1,2,0,907.54,0.0,0,0
2024,2025,HMO,"Independent Health Association, Inc.",2,4,0,262.75,0.0,0,0
2024,2025,HMO,Highmark Western and Northeastern,3,3,0,138.99,0.0,0,0
2024,2025,HMO,"MVP Health Plan, Inc.",4,10,1,462.98,0.0022,0,0
2024,2025,HMO,Capital District Physicians Health Plan,5,25,3,668.5,0.0045,0,0
2024,2025,HMO,"UnitedHealthcare of New York, Inc.",6,31,12,976.91,0.0123,0,0
2024,2025,HMO,HIP Health Maintenance Organization,7,619,360,3119.06,0.1154,0,0
