year_closed,coverage_type,total,confirmed,not_confirmed,confirmed_rate
2012,ALL,7684,1255,6429,0.1633263925039042
2012,Accident and Health,3347,420,2927,0.1254855094114132
2012,Automobile,2258,401,1857,0.17759078830823738
2012,"Fire, Allied Lines & CMP",86,23,63,0.26744186046511625
2012,Homeowners,999,210,789,0.21021021021021022
2012,Liability,101,26,75,0.25742574257425743
2012,Life & Annuity,541,96,445,0.17744916820702403
2012,Miscellaneous,352,79,273,0.22443181818181818
2013,ALL,20151,2959,17192,0.14684134782392932
2013,Accident and Health,8589,1046,7543,0.12178367679590174
2013,Automobile,6427,995,5432,0.15481562159639023
2013,"Fire, Allied Lines & CMP",213,54,159,0.2535211267605634
2013,Homeowners,2475,415,2060,0.16767676767676767
2013,Liability,293,54,239,0.18430034129692832
2013,Life & Annuity,1326,229,1097,0.1726998491704374
2013,Miscellaneous,828,166,662,0.20048309178743962
2014,ALL,19453,4314,15139,0.22176528041947258
2014,Accident and Health,9920,2078,7842,0.2094758064516129
2014,Automobile,5407,1247,4160,0.23062696504531163
2014,"Fire, Allied Lines & CMP",146,44,102,0.3013698630136986
2014,Homeowners,1788,413,1375,0.23098434004474272
2014,Liability,227,55,172,0.2422907488986784
2014,Life & Annuity,1041,170,871,0.1633045148895293
2014,Miscellaneous,924,307,617,0.33225108225108224
2015,ALL,20273,3902,16371,0.19247274700340355
2015,Accident and Health,9553,1355,8198,0.1418402596043128
2015,Automobile,6480,1592,4888,0.24567901234567902
2015,"Fire, Allied Lines & CMP",114,33,81,0.2894736842105263
2015,Homeowners,1747,460,1287,0.2633085289066972
2015,Liability,217,75,142,0.3456221198156682
2015,Life & Annuity,1204,153,1051,0.1270764119601329
2015,Miscellaneous,958,234,724,0.24425887265135698
2016,ALL,21090,3444,17646,0.16330014224751066
2016,Accident and Health,9877,1215,8662,0.12301306064594512
2016,Automobile,6946,1378,5568,0.19838756118629428
2016,"Fire, Allied Lines & CMP",157,38,119,0.24203821656050956
2016,Homeowners,2169,427,1742,0.19686491470723835
2016,Liability,214,44,170,0.205607476635514
2016,Life & Annuity,911,191,720,0.20965971459934138
2016,Miscellaneous,816,151,665,0.18504901960784315
2017,ALL,21655,3868,17787,0.17861925652274302
2017,Accident and Health,10579,1229,9350,0.1161735513753663
2017,Automobile,6780,1575,5205,0.2323008849557522
2017,"Fire, Allied Lines & CMP",129,27,102,0.20930232558139536
2017,Homeowners,2192,557,1635,0.2541058394160584
2017,Liability,208,59,149,0.28365384615384615
2017,Life & Annuity,1179,286,893,0.24257845631891434
2017,Miscellaneous,588,135,453,0.22959183673469388
2018,ALL,21296,3553,17743,0.16683884297520662
2018,Accident and Health,10968,867,10101,0.07904814004376368
2018,Automobile,6381,1626,4755,0.2548189938881053
2018,"Fire, Allied Lines & CMP",181,36,145,0.19889502762430938
2018,Homeowners,2427,720,1707,0.29666254635352285
2018,Liability,217,63,154,0.2903225806451613
2018,Life & Annuity,575,111,464,0.19304347826086957
2018,Miscellaneous,547,130,417,0.2376599634369287
2019,ALL,30878,4319,26559,0.1398730487725889
2019,Accident and Health,22221,2549,19672,0.11471130912200171
2019,Automobile,4839,1037,3802,0.21430047530481505
2019,"Fire, Allied Lines & CMP",116,32,84,0.27586206896551724
2019,Homeowners,1624,379,1245,0.2333743842364532
2019,Liability,156,35,121,0.22435897435897437
2019,Life & Annuity,1423,180,1243,0.12649332396345747
2019,Miscellaneous,499,107,392,0.21442885771543085
2020,ALL,18998,2999,15999,0.15785872197073375
2020,Accident and Health,7359,1330,6029,0.18073107759206414
2020,Automobile,6298,839,5459,0.13321689425214353
2020,"Fire, Allied Lines & CMP",241,33,208,0.13692946058091288
2020,Homeowners,2553,448,2105,0.1754798276537407
2020,Liability,231,45,186,0.19480519480519481
2020,Life & Annuity,1654,191,1463,0.1154776299879081
2020,Miscellaneous,662,113,549,0.17069486404833836
2021,,1,0,1,0.0
2021,ALL,15972,2042,13930,0.1278487352867518
2021,Accident and Health,4983,917,4066,0.1840256873369456
2021,Automobile,5266,411,4855,0.07804785415875427
2021,"Fire, Allied Lines & CMP",172,23,149,0.13372093023255813
2021,Homeowners,3749,404,3345,0.10776206988530275
2021,Liability,211,37,174,0.17535545023696683
2021,Life & Annuity,1077,185,892,0.17177344475394615
2021,Miscellaneous,513,65,448,0.1267056530214425
2022,,3,1,2,0.3333333333333333
2022,ALL,14476,2189,12287,0.15121580547112462
2022,Accident and Health,3525,990,2535,0.28085106382978725
2022,Automobile,6361,592,5769,0.09306712781009276
2022,"Fire, Allied Lines & CMP",143,22,121,0.15384615384615385
2022,Homeowners,2779,291,2488,0.10471392587261605
2022,Liability,216,29,187,0.13425925925925927
2022,Life & Annuity,936,186,750,0.1987179487179487
2022,Miscellaneous,513,78,435,0.15204678362573099
2023,,12,9,3,0.75
2023,ALL,19256,3469,15787,0.1801516410469464
2023,Accident and Health,3953,1453,2500,0.3675689349860865
2023,Automobile,9401,1014,8387,0.10786086586533347
2023,"Fire, Allied Lines & CMP",178,29,149,0.16292134831460675
2023,Homeowners,4080,632,3448,0.15490196078431373
2023,Liability,246,39,207,0.15853658536585366
2023,Life & Annuity,850,183,667,0.21529411764705883
2023,Miscellaneous,536,110,426,0.20522388059701493
2024,,25,5,20,0.2
2024,ALL,17369,4734,12635,0.2725545512119293
2024,Accident and Health,3603,1560,2043,0.43297252289758537
2024,Automobile,7729,1803,5926,0.23327726743433821
2024,"Fire, Allied Lines & CMP",153,34,119,0.2222222222222222
2024,Homeowners,4333,898,3435,0.2072467112854835
2024,Liability,269,52,217,0.19330855018587362
2024,Life & Annuity,814,265,549,0.32555282555282555
2024,Miscellaneous,443,117,326,0.26410835214446954
2025,ALL,22562,7057,15505,0.31278255473805516
2025,Accident and Health,4419,2069,2350,0.46820547635211585
2025,Automobile,9981,2716,7265,0.27211702234245067
2025,"Fire, Allied Lines & CMP",187,53,134,0.28342245989304815
2025,Homeowners,5591,1556,4035,0.2783044178143445
2025,Liability,474,95,379,0.20042194092827004
2025,Life & Annuity,1207,422,785,0.3496271748135874
2025,Miscellaneous,703,146,557,0.20768136557610242
2026,ALL,10284,2618,7666,0.2545702061454687
2026,Accident and Health,1810,662,1148,0.36574585635359114
2026,Automobile,5154,1128,4026,0.21885913853317812
2026,"Fire, Allied Lines & CMP",59,14,45,0.23728813559322035
2026,Homeowners,2084,538,1546,0.2581573896353167
2026,Liability,269,47,222,0.17472118959107807
2026,Life & Annuity,490,133,357,0.2714285714285714
2026,Miscellaneous,418,96,322,0.22966507177033493
